driverId,teamDeltaAvg,teamDeltaNormAvg,teamDeltaSum,teamDeltaNormSum,driverRef,avgWins,avgPoints,totalWins,totalPoints,avgWinsNorm,avgPointsNorm
307,4324.25,7019.068370057438,17297.0,28076.273480229753,ganley,0.0,21.0,0.0,42.0,0.0,10.5
456,159000.0,190993.6576558861,636000.0,763974.6306235444,salvadori,0.0,21.0,0.0,42.0,0.0,10.5
118,1975.1333333333334,3599.8660713467407,29627.0,53997.99107020111,warwick,0.0,27.833333333333332,0.0,167.0,0.0,10.416666666666666
533,62766.666666666664,47327.20699661875,188300.0,141981.62098985625,boyd,0.0,10.333333333333334,0.0,31.0,0.0,10.333333333333334
233,0.0,0.0,0.0,0.0,stuck,0.0,23.5,0.0,94.0,0.0,10.166666666666668
131,0.0,0.0,0.0,0.0,modena,0.0,20.5,0.0,41.0,0.0,10.166666666666668
127,8008.8,17187.210284513483,40044.0,85936.05142256741,gugelmin,0.0,15.0,0.0,45.0,0.0,10.11111111111111
454,50.0,65.33983246866956,100.0,130.6796649373391,ricardo_rodriguez,0.0,20.0,0.0,20.0,0.0,10.0
212,73480.0,137639.33123483768,220440.0,412917.99370451306,rebaque,0.0,16.0,0.0,32.0,0.0,10.0
658,335037.5,239421.601533904,1340150.0,957686.406135616,mcgrath,0.0,10.0,0.0,40.0,0.0,10.0
615,253395.0,182560.9008476279,506790.0,365121.8016952558,agabashian,0.0,10.0,0.0,20.0,0.0,10.0
184,0.0,0.0,0.0,0.0,baldi,0.0,10.0,0.0,10.0,0.0,10.0
644,0.0,0.0,0.0,0.0,mantovani,0.0,10.0,0.0,10.0,0.0,10.0
734,0.0,0.0,0.0,0.0,ball,0.0,10.0,0.0,10.0,0.0,10.0
537,241360.0,172291.21040714293,241360.0,172291.21040714293,dick_rathmann,0.0,10.0,0.0,10.0,0.0,10.0
654,317170.0,225912.1209898052,317170.0,225912.1209898052,faulkner,0.0,10.0,0.0,10.0,0.0,10.0
361,22850.0,27387.573113433697,91400.0,109550.29245373479,courage,0.0,25.0,0.0,50.0,0.0,9.666666666666668
555,149018.0,107196.0572574623,745090.0,535980.2862873115,paul_russo,0.0,9.6,0.0,48.0,0.0,9.6
50,10047.0,15504.186994661419,70329.0,108529.30896262993,verstappen,0.0,19.0,0.0,76.0,0.0,9.583333333333334
25,9602.363636363636,17146.443026868634,211252.0,377221.74659110996,wurz,0.0,27.333333333333332,0.0,164.0,0.0,9.458333333333334
138,26365.0,47265.43508222914,79095.0,141796.3052466874,satoru_nakajima,0.0,9.333333333333334,0.0,28.0,0.0,9.333333333333334
656,330293.3333333333,238279.80939588815,990880.0,714839.4281876645,cross,0.0,9.333333333333334,0.0,28.0,0.0,9.333333333333334
92,12604.5,25986.786276720002,25209.0,51973.572553440004,gachot,0.0,18.0,0.0,18.0,0.0,9.0
518,84836.0,61079.44023925178,424180.0,305397.2011962589,darter,0.0,9.0,0.0,45.0,0.0,9.0
528,0.0,0.0,0.0,0.0,freeland,0.0,9.0,0.0,27.0,0.0,9.0
252,0.0,0.0,0.0,0.0,pryce,0.0,30.0,0.0,90.0,0.0,8.85
206,2356.2,3308.784963101613,11781.0,16543.924815508064,daly,0.0,13.666666666666666,0.0,41.0,0.0,8.833333333333334
262,16775.0,23950.770636569363,100650.0,143704.62381941619,oliver,0.0,10.4,0.0,52.0,0.0,8.5
100,0.0,0.0,0.0,0.0,comas,0.0,8.0,0.0,16.0,0.0,8.0
298,0.0,0.0,0.0,0.0,lennep,0.0,8.0,0.0,8.0,0.0,8.0
431,0.0,0.0,0.0,0.0,barth,0.0,8.0,0.0,8.0,0.0,8.0
541,0.0,0.0,0.0,0.0,flockhart,0.0,8.0,0.0,8.0,0.0,8.0
731,0.0,0.0,0.0,0.0,banks,0.0,8.0,0.0,8.0,0.0,8.0
63,1118.909090909091,2183.6950725442935,12308.0,24020.64579798723,salo,0.0,15.5,0.0,93.0,0.0,7.888888888888889
2,5738.333333333333,10369.58241723187,378730.0,684392.4395373034,heidfeld,0.0,55.0,0.0,550.0,0.0,7.662916666666666
290,166.66666666666666,271.7849202854829,500.0,815.3547608564486,wilson_fittipaldi,0.0,10.0,0.0,20.0,0.0,7.5
612,219385.0,158275.8149014023,877540.0,633103.2596056092,linden,0.0,7.5,0.0,30.0,0.0,7.5
653,357275.0,258147.3555646137,714550.0,516294.7111292274,davies,0.0,7.5,0.0,15.0,0.0,7.5
11,17278.35714285714,33481.101859904855,241897.0,468735.42603866797,sato,0.0,21.4,0.0,107.0,0.0,7.355555555555556
152,11490.42857142857,21399.833498661803,80433.0,149798.8344906326,giacomelli,0.0,15.333333333333334,0.0,46.0,0.0,7.333333333333333
453,111300.0,135099.52935348937,222600.0,270199.05870697874,lewis,0.0,14.0,0.0,14.0,0.0,7.0
846,3148.2419354838707,22418.422378760086,195191.0,1389942.1874831254,norris,0.0,87.2,0.0,436.0,0.0,6.833333333333334
81,22472.5,41020.31374186049,89890.0,164081.25496744196,morbidelli,0.0,7.333333333333333,0.0,22.0,0.0,6.666666666666667
64,681.625,1287.4223674632553,5453.0,10299.378939706043,diniz,0.0,12.75,0.0,51.0,0.0,6.625
197,16226.666666666666,26528.550449428425,194720.0,318342.6053931411,jarier,0.0,13.714285714285714,0.0,96.0,0.0,6.345238095238095
243,39853.75,62820.83476463081,318830.0,502566.6781170465,stommelen,0.0,12.2,0.0,61.0,0.0,6.05
43,0.0,0.0,0.0,0.0,matta,0.0,12.0,0.0,12.0,0.0,6.0
312,33700.0,49981.46088246199,67400.0,99962.92176492399,redman,0.0,12.0,0.0,12.0,0.0,6.0
232,18077.5,29734.343966477034,72310.0,118937.37586590814,merzario,0.0,9.333333333333334,0.0,28.0,0.0,6.0
42,6767.0,13546.25590904314,20301.0,40638.76772712942,pizzonia,0.0,9.0,0.0,18.0,0.0,6.0
133,0.0,0.0,0.0,0.0,caffi,0.0,6.0,0.0,6.0,0.0,6.0
139,0.0,0.0,0.0,0.0,pirro,0.0,6.0,0.0,6.0,0.0,6.0
275,0.0,0.0,0.0,0.0,lombardi,0.0,6.0,0.0,6.0,0.0,6.0
294,0.0,0.0,0.0,0.0,brise,0.0,6.0,0.0,6.0,0.0,6.0
390,0.0,0.0,0.0,0.0,rees,0.0,6.0,0.0,6.0,0.0,6.0
68,1971.0,3456.8886003179077,1971.0,3456.8886003179077,takagi,0.0,6.0,0.0,6.0,0.0,6.0
613,108720.0,81902.93236906039,108720.0,81902.93236906039,teague,0.0,6.0,0.0,6.0,0.0,6.0
494,265590.0,204751.0823845765,265590.0,204751.0823845765,ruby,0.0,6.0,0.0,6.0,0.0,6.0
37,9287.4,14569.308895353885,139311.0,218539.63343030825,rosa,0.0,10.5,0.0,84.0,0.0,5.7
280,0.0,0.0,0.0,0.0,pescarolo,0.0,8.75,0.0,35.0,0.0,5.625
592,130970.0,93805.41875449439,392910.0,281416.25626348314,reece,0.0,5.333333333333333,0.0,16.0,0.0,5.333333333333333
48,11894.8,24285.094646411257,59474.0,121425.47323205629,gene,0.0,7.0,0.0,21.0,0.0,5.166666666666667
513,208180.0,151048.2372794415,832720.0,604192.949117766,johnson,0.0,5.0,0.0,20.0,0.0,5.0
519,185340.0,133582.2708537239,370680.0,267164.5417074478,homeier,0.0,5.0,0.0,10.0,0.0,5.0
75,12849.6,25629.87663497719,64248.0,128149.38317488595,nakano,0.0,23.0,0.0,23.0,0.0,4.6
32,9840.0,19049.41794436166,98400.0,190494.1794436166,klien,0.0,15.0,0.0,45.0,0.0,4.388888888888889
857,6770.833333333333,11599.73756464702,40625.0,69598.42538788212,piastri,0.0,26.0,0.0,26.0,0.0,4.333333333333333
10,6421.125,11648.18096977037,154107.0,279556.34327448887,glock,0.0,46.666666666666664,0.0,140.0,0.0,4.2555555555555555
848,11117.39534883721,20030.42172746707,478048.0,861308.134281084,albon,0.0,51.5,0.0,206.0,0.0,4.053418803418803
597,278945.0,201894.34687070304,557890.0,403788.6937414061,connor,0.0,4.0,0.0,8.0,0.0,4.0
151,0.0,0.0,0.0,0.0,donnelly,0.0,4.0,0.0,4.0,0.0,4.0
229,0.0,0.0,0.0,0.0,ertl,0.0,4.0,0.0,4.0,0.0,4.0
679,0.0,0.0,0.0,0.0,mccoy,0.0,4.0,0.0,4.0,0.0,4.0
79,39473.0,74545.92667784046,39473.0,74545.92667784046,katayama,0.0,4.0,0.0,4.0,0.0,4.0
564,197070.0,146479.06167774159,197070.0,146479.06167774159,larson,0.0,4.0,0.0,4.0,0.0,4.0
659,301170.0,218916.97989499368,301170.0,218916.97989499368,hoyt,0.0,4.0,0.0,4.0,0.0,4.0
357,167170.0,240290.35503809113,167170.0,240290.35503809113,miles,0.0,4.0,0.0,4.0,0.0,4.0
459,220200.0,259823.00884955752,220200.0,259823.00884955752,marsh,0.0,4.0,0.0,4.0,0.0,4.0
726,478280.0,342561.31695731526,478280.0,342561.31695731526,george_connor,0.0,4.0,0.0,4.0,0.0,4.0
329,244000.0,397893.12329794694,244000.0,397893.12329794694,beuttler,0.0,4.0,0.0,4.0,0.0,4.0
807,5922.848484848485,9693.713473460512,586362.0,959677.6338725906,hulkenberg,0.0,35.916666666666664,0.0,431.0,0.0,3.995077838827839
154,5642.650793650793,9869.1665263956,355487.0,621757.4911629228,grosjean,0.0,35.2,0.0,352.0,0.0,3.967051282051282
826,6537.583333333333,10238.673614020208,235353.0,368592.2501047275,kvyat,0.0,28.0,0.0,168.0,0.0,3.766666666666667
840,8126.892857142857,44824.75430837047,455106.0,2510186.2412687466,stroll,0.0,27.142857142857142,0.0,190.0,0.0,3.486019536019536
556,357213.3333333333,257062.7903267173,1071640.0,771188.3709801519,daywalt,0.0,3.3333333333333335,0.0,10.0,0.0,3.3333333333333335
155,5006.548387096775,8726.147345993815,155203.0,270510.56772580824,kobayashi,0.0,24.4,0.0,122.0,0.0,3.2714285714285714
12,16186.0,29272.88500100357,178046.0,322001.7350110393,piquet_jr,0.0,25.0,0.0,50.0,0.0,3.2291666666666665
41,5963.166666666667,10312.858911038826,35779.0,61877.15346623296,zonta,0.0,10.0,0.0,30.0,0.0,3.0
514,91295.0,65169.564360789336,365180.0,260678.25744315734,veith,0.0,3.0,0.0,12.0,0.0,3.0
538,192120.0,136842.18773705387,384240.0,273684.37547410774,herman,0.0,3.0,0.0,6.0,0.0,3.0
109,23079.0,156478.51140993385,46158.0,312957.0228198677,lehto,0.0,3.0,0.0,6.0,0.0,3.0
437,312650.0,341866.16750230803,625300.0,683732.3350046161,burgess,0.0,3.0,0.0,6.0,0.0,3.0
808,9098.5,16744.218578171367,145576.0,267907.4972507419,petrov,0.0,20.333333333333332,0.0,61.0,0.0,2.904761904761905
814,6529.176470588235,11735.838983667652,221992.0,399018.5254447002,resta,0.0,33.333333333333336,0.0,100.0,0.0,2.802489177489177
831,1711.6666666666667,3206.4889563479765,15405.0,28858.40060713179,nasr,0.0,14.5,0.0,29.0,0.0,2.6875
70,27144.75,70660.44300465778,108579.0,282641.7720186311,zanardi,0.0,6.0,0.0,12.0,0.0,2.666666666666667
16,4584.108108108108,8160.5816473909435,169612.0,301941.5209534649,sutil,0.0,15.857142857142858,0.0,111.0,0.0,2.3989898989898992
24,6423.588235294118,11431.488126745528,109201.0,194335.29815467398,liuzzi,0.0,7.0,0.0,35.0,0.0,2.075
26,0.0,0.0,0.0,0.0,speed,0.0,2.0,0.0,2.0,0.0,2.0
76,0.0,0.0,0.0,0.0,magnussen,0.0,2.0,0.0,2.0,0.0,2.0
66,293.0,520.2819395400423,293.0,520.2819395400423,mcnish,0.0,2.0,0.0,2.0,0.0,2.0
515,249300.0,192192.6459523134,249300.0,192192.6459523134,tingelstad,0.0,2.0,0.0,2.0,0.0,2.0
674,427240.0,310555.8006784776,427240.0,310555.8006784776,crockett,0.0,2.0,0.0,2.0,0.0,2.0
629,501430.0,359142.17856048036,501430.0,359142.17856048036,griffith,0.0,2.0,0.0,2.0,0.0,2.0
825,5476.02,9224.837430004158,273801.0,461241.87150020787,kevin_magnussen,0.0,16.0,0.0,128.0,0.0,1.996527777777778
852,2816.875,39612.64883793051,67605.0,950703.5721103322,tsunoda,0.0,14.333333333333334,0.0,43.0,0.0,1.9503968253968254
67,2534.9444444444443,3697.8329655857287,45629.0,66560.99338054312,buemi,0.0,9.666666666666666,0.0,29.0,0.0,1.6944444444444446
6,15036.666666666666,27149.82751744946,225550.0,407247.4127617419,nakajima,0.0,10.5,0.0,21.0,0.0,1.6111111111111112
153,1602.7142857142858,2793.5563276030634,22438.0,39109.78858644289,alguersuari,0.0,7.5,0.0,15.0,0.0,1.575
7,11755.545454545454,19857.414423347494,129311.0,218431.55865682245,bourdais,0.0,8.5,0.0,17.0,0.0,1.5666666666666667
835,4192.0,8247.390228259115,25152.0,49484.34136955469,jolyon_palmer,0.0,4.5,0.0,9.0,0.0,1.5
818,3103.714285714286,5653.973783751849,86904.0,158311.26594505177,vergne,0.0,14.0,0.0,42.0,0.0,1.422943722943723
838,8282.25,12956.964376447126,66258.0,103655.715011577,vandoorne,0.0,5.0,0.0,10.0,0.0,1.4
811,6703.666666666667,12311.880454764007,100555.0,184678.2068214601,bruno_senna,0.0,15.5,0.0,31.0,0.0,1.1923076923076923
841,3348.5,5651.886223319578,53576.0,90430.17957311324,giovinazzi,0.0,5.666666666666667,0.0,17.0,0.0,1.0
843,0.0,0.0,0.0,0.0,brendon_hartley,0.0,2.0,0.0,2.0,0.0,1.0
856,9131.75,17764.810803613476,36527.0,71059.2432144539,de_vries,0.0,1.0,0.0,2.0,0.0,1.0
83,0.0,0.0,0.0,0.0,lamy,0.0,1.0,0.0,1.0,0.0,1.0
365,0.0,0.0,0.0,0.0,hahne,0.0,1.0,0.0,1.0,0.0,1.0
516,0.0,0.0,0.0,0.0,christie,0.0,1.0,0.0,1.0,0.0,1.0
531,0.0,0.0,0.0,0.0,foyt,0.0,1.0,0.0,1.0,0.0,1.0
655,0.0,0.0,0.0,0.0,niday,0.0,1.0,0.0,1.0,0.0,1.0
560,413920.0,307660.2892862983,413920.0,307660.2892862983,cheesbourg,0.0,1.0,0.0,1.0,0.0,1.0
855,3141.8125,5836.143885267629,50269.0,93378.30216428207,zhou,0.0,5.0,0.0,10.0,0.0,0.6333333333333333
849,4728.222222222223,43059.78776973978,85108.0,775076.179855316,latifi,0.0,3.3333333333333335,0.0,10.0,0.0,0.6285714285714286
836,7344.5,6762.060096663992,14689.0,13524.120193327984,wehrlein,0.0,0.5,0.0,1.0,0.0,0.5
520,44000.0,33209.55227485433,88000.0,66419.10454970866,hartley,0.0,0.5,0.0,1.0,0.0,0.5
828,2254.1666666666665,3366.1477015482596,27050.0,40393.772418579116,ericsson,0.0,1.0,0.0,4.0,0.0,0.225
854,3581.9166666666665,5569.664879305485,42983.0,66835.97855166582,mick_schumacher,0.0,2.0,0.0,4.0,0.0,0.2222222222222222
821,14902.461538461539,26592.896569705477,193732.0,345707.6554061712,gutierrez,0.0,2.0,0.0,6.0,0.0,0.19999999999999998
33,0.0,0.0,0.0,0.0,monteiro,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,mazzacane,0.0,0.0,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0,bell,0.0,0.0,0.0,0.0,0.0,0.0
594,0.0,0.0,0.0,0.0,tolan,0.0,0.0,0.0,0.0,0.0,0.0
727,0.0,0.0,0.0,0.0,rigsby,0.0,0.0,0.0,0.0,0.0,0.0
729,0.0,0.0,0.0,0.0,schindler,0.0,0.0,0.0,0.0,0.0,0.0
824,0.0,0.0,0.0,0.0,jules_bianchi,0.0,0.0,0.0,0.0,0.0,0.0
